epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,2814.96,0.84795,0.77762,0.0127,0.93415,0.95485,0.9818,0.83651,0.65542,0.29948,0.01227,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
110,2840.88,0.84614,0.72829,0.01287,0.94611,0.95753,0.98408,0.84432,0.64344,0.29402,0.01193,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059,0.0213318,0.00711059
111,2866.78,0.84478,0.74675,0.01249,0.92181,0.95253,0.98074,0.84044,0.63987,0.30509,0.01202,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
112,2892.3,0.84592,0.73978,0.01251,0.94289,0.96354,0.98246,0.84484,0.64663,0.28833,0.01209,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
113,2917.99,0.83797,0.74836,0.01261,0.96135,0.95087,0.98605,0.84385,0.64781,0.27465,0.01204,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
114,2943.59,0.81862,0.71772,0.01199,0.96506,0.93767,0.98131,0.84693,0.63481,0.29347,0.01156,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031,0.0207609,0.00692031
115,2969.32,0.82924,0.71064,0.01208,0.94661,0.96106,0.98619,0.83867,0.65376,0.27192,0.01209,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
116,2994.95,0.82979,0.72193,0.0122,0.95215,0.94512,0.97966,0.83891,0.66535,0.29734,0.01249,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
117,3020.61,0.83189,0.69304,0.01244,0.93922,0.94948,0.97881,0.84065,0.64158,0.30595,0.01201,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
118,3046.28,0.82854,0.69449,0.01217,0.95538,0.94038,0.98267,0.84118,0.64777,0.28935,0.0121,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
119,3072.13,0.83721,0.69259,0.01251,0.94704,0.94996,0.9815,0.84014,0.66187,0.29547,0.01238,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
120,3097.68,0.83775,0.71531,0.01247,0.95748,0.94063,0.98256,0.83944,0.6638,0.30906,0.01237,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885,0.0198865,0.00662885
121,3123.15,0.8327,0.68695,0.01237,0.96322,0.95911,0.98389,0.84809,0.64545,0.26252,0.012,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
122,3148.68,0.81905,0.69967,0.01213,0.96136,0.9483,0.98449,0.8458,0.64986,0.28202,0.01194,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025,0.0195908,0.00653025
123,3174.22,0.81609,0.69472,0.01217,0.95647,0.95273,0.98435,0.8485,0.64284,0.29052,0.01194,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
124,3199.82,0.80921,0.70618,0.01192,0.95512,0.92816,0.98072,0.8433,0.648,0.30417,0.01192,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
125,3225.47,0.80464,0.66475,0.01204,0.95121,0.94898,0.98234,0.84048,0.65554,0.29525,0.01214,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
126,3251.2,0.82063,0.6695,0.01195,0.97109,0.95064,0.98775,0.8503,0.64411,0.26737,0.01198,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
127,3277.06,0.80563,0.69276,0.01177,0.96098,0.95169,0.98194,0.83864,0.65156,0.32314,0.01217,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
128,3302.69,0.79009,0.64345,0.01155,0.95665,0.95096,0.98505,0.84619,0.64703,0.27253,0.01193,0.0186922,0.00623074,0.0186922,0.00623074,0.0186922,0.00623074,0.0186922,0.00623074
