epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,3709.65,0.67968,0.68544,0.00992,0.94612,0.90946,0.97817,0.84993,0.6016,0.32309,0.011,2.77394e-05,2.77394e-05,2.77394e-05
135,3737.26,0.6774,0.67311,0.00957,0.94771,0.91241,0.97919,0.85379,0.60335,0.32423,0.01103,2.62412e-05,2.62412e-05,2.62412e-05
136,3764.71,0.6762,0.6513,0.00981,0.94548,0.92957,0.97957,0.85288,0.6056,0.32085,0.01104,2.4743e-05,2.4743e-05,2.4743e-05
137,3792.4,0.68087,0.66806,0.00995,0.94378,0.92074,0.97917,0.85235,0.60508,0.32322,0.01107,2.32448e-05,2.32448e-05,2.32448e-05
138,3820.03,0.66234,0.6501,0.00953,0.94641,0.91545,0.97827,0.85149,0.6031,0.32173,0.01103,2.17466e-05,2.17466e-05,2.17466e-05
139,3847.56,0.67233,0.66734,0.00946,0.9609,0.9094,0.9791,0.85084,0.60212,0.31936,0.01101,2.02484e-05,2.02484e-05,2.02484e-05
140,3875.16,0.67103,0.67917,0.00966,0.95805,0.91365,0.97903,0.85318,0.60131,0.32319,0.01101,1.87502e-05,1.87502e-05,1.87502e-05
141,3922.99,0.48901,0.32034,0.00944,0.92996,0.89657,0.97212,0.84195,0.6139,0.36137,0.0113,1.7252e-05,1.7252e-05,1.7252e-05
142,3950.61,0.48932,0.311,0.00929,0.91752,0.91846,0.97285,0.84171,0.61139,0.36023,0.01122,1.57538e-05,1.57538e-05,1.57538e-05
143,3977.98,0.48544,0.3034,0.00929,0.93971,0.90646,0.97275,0.84134,0.60993,0.35588,0.0112,1.42556e-05,1.42556e-05,1.42556e-05
144,4005.4,0.47864,0.30761,0.00906,0.93222,0.91403,0.97378,0.84258,0.60904,0.35156,0.01117,1.27574e-05,1.27574e-05,1.27574e-05
145,4032.55,0.48207,0.29566,0.00902,0.92458,0.92597,0.97412,0.84291,0.61071,0.34917,0.01119,1.12592e-05,1.12592e-05,1.12592e-05
146,4059.8,0.47889,0.29226,0.00909,0.92285,0.93067,0.97533,0.84218,0.61089,0.34559,0.01122,9.761e-06,9.761e-06,9.761e-06
147,4087.25,0.48677,0.28992,0.0092,0.92127,0.92519,0.9754,0.84249,0.61077,0.34559,0.01121,8.2628e-06,8.2628e-06,8.2628e-06
148,4114.6,0.47618,0.28473,0.00897,0.92015,0.93378,0.97555,0.84463,0.60892,0.34547,0.01119,6.7646e-06,6.7646e-06,6.7646e-06
149,4142.1,0.47995,0.28927,0.00913,0.9243,0.93608,0.97591,0.84436,0.61006,0.34419,0.01122,5.2664e-06,5.2664e-06,5.2664e-06
150,4169.6,0.4761,0.28416,0.00905,0.92166,0.935,0.97694,0.84499,0.60997,0.3428,0.0112,3.7682e-06,3.7682e-06,3.7682e-06
